unit_id,zone,hour,forecast_power,actual_power,curtailment
WIND鄂东,鄂东,0,267.7269,267.7269,0.0
WIND鄂东,鄂东,1,236.6861,236.6861,0.0
WIND鄂东,鄂东,2,132.4777,132.4777,0.0
WIND鄂东,鄂东,3,111.9686,111.9686,0.0
WIND鄂东,鄂东,4,82.0364,82.0364,0.0
WIND鄂东,鄂东,5,59.3101,59.3101,0.0
WIND鄂东,鄂东,6,81.4821,81.4821,0.0
WIND鄂东,鄂东,7,130.2605,130.26050000000004,0.0
WIND鄂东,鄂东,8,228.9259,228.9259,0.0
WIND鄂东,鄂东,9,344.2203,344.22029999999995,0.0
WIND鄂东,鄂东,10,271.0527,271.05269999999996,0.0
WIND鄂东,鄂东,11,186.2448,186.2448,0.0
WIND鄂东,鄂东,12,187.3534,187.3534,0.0
WIND鄂东,鄂东,13,308.7451,308.7451,0.0
WIND鄂东,鄂东,14,519.3791,519.3791,0.0
WIND鄂东,鄂东,15,714.4926999999999,714.4926999999999,0.0
WIND鄂东,鄂东,16,744.9792,744.9792000000002,0.0
WIND鄂东,鄂东,17,756.0652,756.0652,0.0
WIND鄂东,鄂东,18,1016.0319,1016.0319,0.0
WIND鄂东,鄂东,19,1207.2654,1207.2654,0.0
WIND鄂东,鄂东,20,1402.9333,1402.9333,0.0
WIND鄂东,鄂东,21,1593.0582,1593.0582,0.0
WIND鄂东,鄂东,22,1642.9451999999999,1642.9451999999999,0.0
WIND鄂东,鄂东,23,1507.1417,1507.1417,0.0
WIND鄂西,鄂西,0,345.2001,345.2001,0.0
WIND鄂西,鄂西,1,305.1769,305.1769,0.0
WIND鄂西,鄂西,2,170.8133,170.8133,0.0
WIND鄂西,鄂西,3,144.36939999999998,144.36939999999998,0.0
WIND鄂西,鄂西,4,105.77560000000001,105.77560000000001,0.0
WIND鄂西,鄂西,5,76.4729,76.4729,0.0
WIND鄂西,鄂西,6,105.06089999999999,105.06089999999999,0.0
WIND鄂西,鄂西,7,167.9545,167.9545,0.0
WIND鄂西,鄂西,8,295.1711,295.1711,0.0
WIND鄂西,鄂西,9,443.8287,443.8287,0.0
WIND鄂西,鄂西,10,349.4883,349.4883,0.0
WIND鄂西,鄂西,11,240.1392,240.1392,0.0
WIND鄂西,鄂西,12,241.56859999999998,241.56859999999998,0.0
WIND鄂西,鄂西,13,398.0879,398.0879,0.0
WIND鄂西,鄂西,14,669.6739,669.6738999999998,0.0
WIND鄂西,鄂西,15,921.2482999999999,921.2482999999999,0.0
WIND鄂西,鄂西,16,960.5568,960.5568,0.0
WIND鄂西,鄂西,17,974.8507999999999,974.8507999999999,0.0
WIND鄂西,鄂西,18,1310.0450999999998,1310.0450999999998,0.0
