line_id,hour,flow
INTERTRAN鄂西-鄂东,0,9091.118900000001
INTERTRAN鄂西-鄂东,1,8031.666500000001
INTERTRAN鄂西-鄂东,2,8008.096299999994
INTERTRAN鄂西-鄂东,3,7159.102400000056
INTERTRAN鄂西-鄂东,4,8825.898600000008
INTERTRAN鄂西-鄂东,5,4371.035399999988
INTERTRAN鄂西-鄂东,6,7846.5418999999865
INTERTRAN鄂西-鄂东,7,8473.842879999998
INTERTRAN鄂西-鄂东,8,7528.3775
INTERTRAN鄂西-鄂东,9,7290.910049050018
INTERTRAN鄂西-鄂东,10,10153.010770000008
INTERTRAN鄂西-鄂东,11,10382.382370000007
INTERTRAN鄂西-鄂东,12,7340.246511111096
INTERTRAN鄂西-鄂东,13,3994.4794999999863
INTERTRAN鄂西-鄂东,14,11477.8759
INTERTRAN鄂西-鄂东,15,4678.062610061689
INTERTRAN鄂西-鄂东,16,7298.351976111116
INTERTRAN鄂西-鄂东,17,10173.781170000002
INTERTRAN鄂西-鄂东,18,8532.787600000003
INTERTRAN鄂西-鄂东,19,9693.424540000009
INTERTRAN鄂西-鄂东,20,8479.969800000003
INTERTRAN鄂西-鄂东,21,8948.164100000002
INTERTRAN鄂西-鄂东,22,7826.1169000000045
INTERTRAN鄂西-鄂东,23,5482.916400000002
INTERTRAN鄂西北-鄂东,0,756.4874999999993
INTERTRAN鄂西北-鄂东,1,918.7714999999989
INTERTRAN鄂西北-鄂东,2,1065.7884999999997
INTERTRAN鄂西北-鄂东,3,1282.7472499999994
INTERTRAN鄂西北-鄂东,4,-97.67784000000938
INTERTRAN鄂西北-鄂东,5,3000.0
INTERTRAN鄂西北-鄂东,6,1189.5944999999992
INTERTRAN鄂西北-鄂东,7,1052.5257799999995
INTERTRAN鄂西北-鄂东,8,2136.7917000000043
INTERTRAN鄂西北-鄂东,9,3000.0
INTERTRAN鄂西北-鄂东,10,430.81502999999566
INTERTRAN鄂西北-鄂东,11,19.772129999999606
INTERTRAN鄂西北-鄂东,12,-975.0762050000003
INTERTRAN鄂西北-鄂东,13,3000.0
INTERTRAN鄂西北-鄂东,14,-1098.2908999999963
INTERTRAN鄂西北-鄂东,15,3000.0
INTERTRAN鄂西北-鄂东,16,246.38398388888783
INTERTRAN鄂西北-鄂东,17,574.7167300000001
INTERTRAN鄂西北-鄂东,18,3000.0
INTERTRAN鄂西北-鄂东,19,3000.0
INTERTRAN鄂西北-鄂东,20,3000.0
INTERTRAN鄂西北-鄂东,21,3000.0
INTERTRAN鄂西北-鄂东,22,3000.0
INTERTRAN鄂西北-鄂东,23,3000.0
INTERTRAN鄂西-鄂西北,0,-2000.0
INTERTRAN鄂西-鄂西北,1,-2000.0
INTERTRAN鄂西-鄂西北,2,-2000.0
INTERTRAN鄂西-鄂西北,3,-2000.0
INTERTRAN鄂西-鄂西北,4,-2000.0
INTERTRAN鄂西-鄂西北,5,-320.52750000000015
INTERTRAN鄂西-鄂西北,6,-2000.0
INTERTRAN鄂西-鄂西北,7,-2000.0
INTERTRAN鄂西-鄂西北,8,-2000.0
INTERTRAN鄂西-鄂西北,9,-1103.4676852499977
INTERTRAN鄂西-鄂西北,10,-2000.0
INTERTRAN鄂西-鄂西北,11,-2000.0
INTERTRAN鄂西-鄂西北,12,-2000.0
INTERTRAN鄂西-鄂西北,13,2000.0
INTERTRAN鄂西-鄂西北,14,-2000.0
INTERTRAN鄂西-鄂西北,15,1292.3037988271524
INTERTRAN鄂西-鄂西北,16,-2000.0
INTERTRAN鄂西-鄂西北,17,-2000.0
INTERTRAN鄂西-鄂西北,18,912.3854650000007
INTERTRAN鄂西-鄂西北,19,-1442.9369300000017
INTERTRAN鄂西-鄂西北,20,934.425885000001
INTERTRAN鄂西-鄂西北,21,667.0021799999995
INTERTRAN鄂西-鄂西北,22,-220.6347499999997
INTERTRAN鄂西-鄂西北,23,410.6014999999993
