zone,hour,load,thermal,hydro,renewable,storage_charge,storage_discharge,dc_injection,line_import,line_export,curtailment,load_shed
鄂东,0,22131.584,7972.990859999998,12.775839999999995,267.7269,0.0,270.0,3760.484,9847.6064,0.0,0.0,0.0
鄂东,1,20788.57,7750.118059999999,12.775839999999999,236.6861,0.0,0.0,3838.552,8950.438,0.0,0.0,0.0
鄂东,2,19614.438000000002,6835.031659999999,12.775839999999999,132.4777,256.4759999999921,0.0,3816.744,9073.884799999993,0.0,0.0,0.0
鄂东,3,18870.553,6580.5369099999425,12.775839999999999,111.9686,0.0,0.0,3723.422,8441.849650000055,0.0,0.0,0.0
鄂东,4,18890.658,6344.0,12.775839999999999,82.0364,0.0,0.0,3723.625,8825.898600000008,97.67784000000938,0.0,0.0
鄂东,5,18713.734,7653.814709197585,12.775839999999999,59.3101,135.94304919757369,0.0,3752.741,7371.035399999988,0.0,0.0,0.0
鄂东,6,19168.107,6517.952660000013,12.775839999999999,81.4821,300.0,0.0,3819.76,9036.136399999985,0.0,0.0,0.0
鄂东,7,19682.795,6344.0,12.775839999999999,280.18050000000005,300.0,0.0,3819.47,9526.368659999998,0.0,0.0,0.0
鄂东,8,22372.844,8253.554059999995,12.775839999999999,374.16089999999997,0.0,240.0,3827.184,9665.169200000004,0.0,0.0,0.0
鄂东,9,23643.48,8253.554059999999,12.775839999999999,498.82529999999997,0.0,826.5827509499845,3760.832,10290.910049050017,0.0,0.0,0.0
鄂东,10,23374.073,7563.133659999995,12.775839999999999,1123.7227,0.0,300.0,3790.615,10583.825800000004,0.0,0.0,0.0
鄂东,11,23619.354000000003,6545.394859999995,12.775839999999999,2866.0648,0.0,0.0,3792.964,10402.154500000006,0.0,0.0,0.0
鄂东,12,22654.314000000002,8253.554059999999,12.775839999999999,4277.3584,94.54660611109193,0.0,3840.002,7340.246511111096,975.0762050000003,0.0,0.0
鄂东,13,21729.484,7568.3562266666795,12.775839999999999,4061.4301000000005,816.6666666666666,0.0,3909.109,6994.479499999987,0.0,0.0,0.0
鄂东,14,21190.670000000002,4613.554059999999,12.775839999999999,3447.5041,1050.0,0.0,3787.251,11477.8759,1098.2908999999963,0.0,0.0
鄂东,15,21303.258,6933.554059999999,12.775839999999999,3230.3376999999996,423.3162100616855,0.0,3871.844,7678.062610061689,0.0,0.0,0.0
鄂东,16,21645.043,7663.999999999996,12.775839999999999,2581.4992,0.0,0.0,3842.032,7544.735960000004,0.0,0.0,0.0
鄂东,17,23181.065,6577.092059999995,12.775839999999999,1749.2852,0.0,270.0,3823.4139999999998,10748.497900000002,0.0,0.0,0.0
鄂东,18,24721.108,7980.715659999998,12.775839999999999,1386.1469,0.0,0.0,3808.682,11532.787600000003,0.0,0.0,0.0
鄂东,19,25223.733,6429.365659999995,12.775839999999999,1357.1854,0.0,828.7455599999935,3902.236,12693.424540000009,0.0,0.0,0.0
鄂东,20,25119.187,8253.554059999999,12.775839999999999,1548.1682999999998,0.0,0.0,3824.719,11479.969800000003,0.0,0.0,0.0
鄂东,21,24865.863999999998,7455.246859999996,12.775839999999999,1593.0582,0.0,0.0,3856.619,11948.164100000002,0.0,0.0,0.0
鄂东,22,23273.548,6933.554059999995,12.775839999999999,1642.9451999999999,0.0,0.0,3858.156,10826.116900000005,0.0,0.0,0.0
